cik_year,roa,prev_roa
811589_2006,0.7438619467775641,0.7434260386945126
811671_2006,0.7529534646442332,0.7621611001296269
811831_2006,0.7355051325450072,0.7349209014467492
814184_2006,0.7772001315048976,0.7908606810748994
818969_2006,0.7529323000663132,0.7544925275183997
821127_2006,0.7456024224771419,0.7438089761676542
822662_2006,0.7319268010304282,0.7365181344998964
826154_2006,0.7671095568127377,0.7767974128733178
832847_2006,0.7396877543052917,0.7561010658929529
834285_2006,0.7481932748211567,0.7500306125064088
835012_2006,0.76594777157289,0.7570867740255579
840256_2006,0.7426072866713975,0.752570135637276
840387_2006,0.7001538092740378,0.4948820853063176
846617_2006,0.7665052983247751,0.783039271063572
854395_2006,0.7592140947057566,0.7564583274485439
854399_2006,0.7424520252419414,0.7506261571917868
854560_2006,0.7642599432503057,0.7519518776402186
855574_2006,0.6949101778575855,0.7244848407960207
855876_2006,0.7512743414234819,0.7552021956102681
857499_2006,0.7304661636846356,0.7344094412584927
857855_2006,0.7467187158379948,0.7466442556770979
859070_2006,0.7664851647859028,0.7631675508537061
861842_2006,0.7682842496173724,0.7753442655694172
862831_2006,0.7441570775721107,0.7092204773595071
865911_2006,0.7735637133385517,0.7814354528466843
868671_2006,0.7640863328061009,0.7660347616859609
879635_2006,0.7478088891079351,0.75026838229186
883948_2006,0.7585893067947304,0.7637324253901971
887343_2006,0.7592626927530218,0.7587843776424046
887919_2006,0.7573797239767517,0.741072049517647
889936_2006,0.7431974716938778,0.7461698937529053
891098_2006,0.75299308786637,0.7468432540439799
891106_2006,0.7372912980656754,0.7397944411795117
893847_2006,0.745962986837986,0.7428524616664142
906465_2006,0.7141467745337687,0.7246312274589904
908837_2006,0.7191046998096532,0.7320250038019022
913341_2006,0.7764032644819233,0.7808789092797138
914138_2006,0.7497263907317019,0.74674138869118
920112_2006,0.7402689971304617,0.7396410273546276
921547_2006,0.7580561900010591,0.7636674003241805
921557_2006,0.7450423568459815,0.7603253242292615
921590_2006,0.7257421628970958,0.7341363024833298
922487_2006,0.7737406735720673,0.8117407052689048
925464_2006,0.7453635476962557,0.7469157817679782
926966_2006,0.7498248005810605,0.7534601398542258
927807_2006,0.7564787872655958,0.7509196987940798
932781_2006,0.7323515308230449,0.7333462277019807
933590_2006,0.7264613465657958,0.7290865420809256
934547_2006,0.7478017014171562,0.7505807262180522
946090_2006,0.7111868402282706,0.7295367363628326
946673_2006,0.7445893635323306,0.722365854565643
949953_2006,0.7372392632215846,0.744448865972985
1000234_2006,0.7388100229333101,0.7388700555081406
1002682_2006,0.769724680773018,0.7655475065532211
1005817_2006,0.7591997167139733,0.7617266281056033
1010002_2006,0.7709839231299397,0.7752540996820646
1013796_2006,0.7350578417038615,0.7523636929074472
1019650_2006,0.7221488382476055,0.7314075741163834
1019883_2006,0.7390101075890115,0.742162262811044
1024321_2006,0.7442382638489219,0.751209355510847
1025536_2006,0.7639831331930652,0.746691513373601
1027324_2006,0.7697192863071145,0.7727610603158582
1028734_2006,0.7515696101249391,0.7495850296227742
1036070_2006,0.7567259147092393,0.7572101941849807
1046025_2006,0.7583585715668325,0.7652340402300909
1046050_2006,0.7660528070444833,0.7566462245266414
1047170_2006,0.7415399772361368,0.7428641463405837
1051379_2006,0.7308020296573552,0.7157670032379803
1053352_2006,0.7770018718318144,0.7601516572301725
1058690_2006,0.7565272983053463,0.7612977115113851
1060523_2006,0.7241778891605442,0.7341450841517756
1061068_2006,0.7263568335743275,0.7374919047664644
1061580_2006,0.7469771229358276,0.7580184896449943
1066254_2006,0.7434731632695184,0.7431174443571609
1068300_2006,0.7508761471826598,0.7461290659117291
1068851_2006,0.7631050011514792,0.7626231013312615
1071264_2006,0.7382738421700129,0.7391833217139873
1071992_2006,0.7422970840001389,0.7348899976826855
1072847_2006,0.7284665213116227,0.7313815140606558
1074902_2006,0.7562532202840635,0.7586283122635139
1076394_2006,0.7123991468164931,0.7255708124730823
1077428_2006,0.7387974629635439,0.7434455636158206
1077771_2006,0.7545835678312737,0.7611539620461824
1082368_2006,0.7159851445631812,0.7418436647847042
1082484_2006,0.7274797556026781,0.7293569827530616
1083643_2006,0.7512865224755223,0.7561063298475846
1084717_2006,0.7667444384785808,0.7571858581831544
1084727_2006,0.7343197547825453,0.7297423246788685
1084887_2006,0.7300555356349433,0.748487099197872
1090009_2006,0.7378801518731828,0.731544886765658
1092099_2006,0.7369407917735159,0.7472223992945988
1099958_2006,0.7250006644111331,0.7465326863761976
1102112_2006,0.7640966867003354,0.7724728783764632
1102266_2006,0.7387267789287794,0.7361586781797503
1102287_2006,0.766159665323507,0.7673603037689876
1102595_2006,0.7519151256660626,0.7524393763939992
1103764_2006,0.7437672082102831,0.7410822146055748
1106980_2006,0.7421673840733518,0.7494725593590605
1108236_2006,0.7698309038971852,0.7697639690162238
1109242_2006,0.7812267392207248,0.7787554778354165
1109525_2006,0.7272410391754683,0.7334243565347296
1109848_2006,0.7528457797938211,0.7560652666510815
1115055_2006,0.7409675260852769,0.739025426567065
1115568_2006,0.7675261661940193,0.7632731388230172
1118237_2006,0.7150371676743086,0.7523013650743824
1128361_2006,0.7764077279674209,0.7703549675589654
1130144_2006,0.7732678747378741,0.7714852082244045
1132651_2006,0.7613178668021361,0.766197139460034
1137547_2006,0.7902457206626441,0.7807132861253472
